subjid,date,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-NaN_cue-cond-trial.nocue
2,80717,708.75,700.25,697.9,732.75,801.3333333,676.6666667,726,808.25,659,835.6,nan,nan,801,nan,nan,535.5,791.5,660,618.6666667,715,823,677.3333333,767.2,781.6666667,793.3333333,802.3636364,739.5,795.5,623.25,752,nan,621,1114,604,nan,519,nan,nan,749,784
4,80717,nan,nan,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,901,nan,74,nan,nan,nan,nan,83,nan,nan,46,nan
5,80717,647.5,552.75,606.8,504.75,646.5,613.7272727,519.75,643.25,552.6666667,554.75,789,970.5,667.2727273,665.25,603.75,626,557.25,679,662.2727273,645.4,570.75,591.25,591,647.75,689.25,541.0833333,532.75,589.25,512.6666667,607.8,746.3333333,686.25,620,641,781.3333333,628.9090909,595.5,611.6666667,592,713.2
10,80717,444.3333333,495.75,609.4545455,576.75,549,549.2727273,588,651.5,465.25,561.3333333,483.6666667,720.3333333,700.0909091,748.5,791.5,573.75,444.5,766.3333333,507.7,585.1111111,499,521.3333333,545.0909091,626.3333333,561,637.8181818,513.6666667,1028,500.4166667,650.4,689,644,668.9,611.5,751,574.4166667,651.5,593.6666667,530.25,643.25
11,80717,466,481,688.9090909,462,511,424.6666667,542.3333333,495,415.9,445.5,nan,366,361,684,nan,402.5,413,535.5,458,419,581.3333333,479,482.9090909,416.5,468.3333333,431.1818182,581,576.5,462.4545455,508.875,nan,375.5,593.5,466,518,434.25,425,nan,523,350
16,80717,728,752.25,729.2,680.75,941.75,735.7272727,779.75,857.75,715.9166667,775.5833333,846.5,1042,896.9090909,796.5,1027.75,741.25,797.75,927.25,776.0909091,867.3636364,775.5,900,814.2727273,799.75,831.3333333,672.1818182,835,766.3333333,713.5833333,879.5,992.5,758.5,825.4166667,1061.75,953,805.6666667,750,1000,789.9166667,991.2727273
18,80717,540.25,755.5,633.75,570.5,609.25,542.9090909,674.25,692.25,635.75,632.3333333,804.75,821.25,764.25,802,851.25,709.9166667,656,854.25,643.5,806.9166667,621.75,723.5,698.75,615.6666667,746,563.5454545,652,697.25,541.1666667,709,889.5,710.25,874.0833333,793.5,819,748.5,736.25,784.75,716.0833333,833.75
20,80717,798.75,853.25,925.6363636,988.25,1000.5,786.7272727,753.75,929.25,858.25,834.4166667,926.25,886,913.1666667,789.75,866.75,945.3333333,904.75,794.75,782.75,830,1051.666667,780,860.5,789,920.5,715.4166667,782,818.6666667,804.75,964.9166667,1075.333333,1050,803.4166667,798.3333333,960.3333333,890.2727273,741.75,835,776.7272727,950.1818182
21,80717,614,606.5,609.7272727,464.75,584.3333333,510.4,586,588.25,547.3636364,541.3333333,733.6666667,792,694.9166667,727.5,683,599.1818182,711.5,696.5,633.4545455,705.8181818,601.5,600,579.6363636,526,670.75,483.1666667,594.25,586.25,509.4166667,611.8181818,661.6666667,651.6666667,678.8888889,627.5,735,636.8571429,536.75,711,654.3333333,678.25
24,80717,916.75,732.75,885.0833333,826.25,890,769.4,776.25,852,772.8333333,832.6666667,939.25,1305.75,855.75,1106.25,1024,854.5833333,798,974.5,782,972.75,721.25,756.75,792.9090909,825.25,840.5,715.5454545,869.75,1141.666667,665.4166667,845.6666667,1071,900.5,830.8333333,890.5,1075.5,904,816,898.25,861,1160.3
27,80717,534.25,645.25,576.0833333,478,569.5,613.6363636,603,539.25,482.1818182,619.5833333,664,835.25,731.0833333,668.75,734.3333333,566.5454545,602.25,652.75,579.3333333,715.3333333,500.25,541.25,558,519.25,571.25,480.5,472.25,550.75,442,581.5,808.6666667,622.75,733,604.6666667,741.5,559.5,580.75,734,619.75,757.5
31,80717,558.25,590.25,624.0833333,537,602.25,530.0909091,591.25,734.5,571.5,590.75,706.75,876.6666667,716.3333333,791.25,789.5,563.0833333,642.25,771.75,648,726.6363636,589.5,655.25,616.75,591.25,602.5,523.5833333,631,639.25,471.75,686.8333333,832,634,773.4166667,669.75,826.75,643.9166667,603,758,685.6666667,850
32,80717,719.5,595.5,701.9090909,570.5,726,660.7272727,681.3333333,864.5,499.1,698.6666667,812.25,734,753.5833333,862,961.75,615.5833333,725.25,753.5,703.25,684.5555556,639.25,694.75,677.5454545,821.75,901.3333333,557.4166667,784,703.5,538.75,731.4,808,631.5,761.4545455,810,912.3333333,688.1818182,780.75,673.5,617.3333333,841.1
35,80717,515.5,536,463.2727273,458.75,573.5,449.1818182,481.25,587.75,470.5833333,462.1818182,593.5,827,543.5,656.5,738.25,485.3333333,495.75,597,540.25,568.5,470.25,451.5,513.0833333,485.5,552.5,458.5833333,437,553.75,414.5833333,477.0909091,670.5,455.25,560,447,609.6666667,485.4545455,536.5,666.25,457.6666667,602.3333333
42,80717,490.5,577.25,548.6,600.5,556,544.7272727,561.3333333,616,590.1666667,578.5833333,692.3333333,852,651.2,807.75,738.5,625.5,540.3333333,907.25,680.3333333,695.3636364,540.75,583.5,539.8333333,586.5,622.5,510.8333333,606.5,686,478.3333333,617.5,730.3333333,750.5,668.8,621.6666667,787,668.9090909,674.25,692,635,775.5454545
47,80717,574.25,736.3333333,632.3,466,572,578.5,517.6666667,677.75,587.1666667,570.4166667,884,921,746.5833333,661,849.6666667,644.0909091,615.25,745.5,616.5454545,743.1818182,630.25,614,568.5833333,658.25,671,482.1666667,563,624.25,509.3333333,741.9166667,732.6666667,669.5,699,669.25,731.25,577.9090909,714.5,801.25,606.75,729.6
49,80717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
